START_TIME,END_TIME,BUILD_STATUS,commit_size,files_changed,compute_type,build_time,failure_type,cost,reward
1777703633,1777703633,1,120,5,BUILD_GENERAL1_MEDIUM,0,none,0,-0.0
1777700786,1777700787,1,,,,1,none,1,-0.8999999999999999
1777703625,1777703625,1,,,,0,none,0,-0.0
1777703038,1777703040,0,120,5,BUILD_GENERAL1_MEDIUM,2,none,4,-12.4
1778395772,1778395772,1,120,5,1,0,none,0,-0.0
1778395774,1778395774,1,,,,0,none,0,-0.0
1777700831,1777700832,1,,,,1,none,1,-0.8999999999999999
1777703058,1777703060,0,,,,2,none,2,-11.8
1777703024,1777703026,0,,,,2,none,2,-11.8
1777697189,1777697190,1,,,,1,none,1,-0.8999999999999999
1778395530,1778395530,1,,,,0,none,0,-0.0
1777629617,1777629618,1,,,,1,none,1,-0.8999999999999999
1777629582,1777629583,1,,,,1,none,1,-0.8999999999999999
1777702231,1777702232,0,120,5,BUILD_GENERAL1_MEDIUM,1,none,2,-11.2
1777702224,1777702225,0,,,,1,none,1,-10.9
1778395495,1778395495,1,120,5,1,0,none,0,-0.0
1777700793,1777700794,1,120,5,BUILD_GENERAL1_MEDIUM,1,none,2,-1.2
1778395489,1778395489,1,,,,0,none,0,-0.0
1777702249,1777702250,0,,,,1,none,1,-10.9
1778395824,1778395824,1,,,,0,none,0,-0.0
1777703671,1777703671,1,,,,0,none,0,-0.0
